FECHA;DESCRIPCION;VALOR;ETIQUETA
10/01/2026;CUOTA MANEJO TARJETA DEBITO;10650.0;NO_HORMIGA
11/01/2026;PAGO APP CLARO MOVIL COMCEL;66133.0;NO_HORMIGA
23/01/2026;COMPRA EN  HOME FOOD;16500.0;NO_HORMIGA
27/01/2026;COMPRA EN  HOME FOOD;17700.0;NO_HORMIGA
28/01/2026;TRANSF QR;14000.0;NO_HORMIGA
29/01/2026;COMPRA EN  HOME FOOD;17700.0;NO_HORMIGA
30/01/2026;COMPRA EN  FRISBY H30;21900.0;NO_HORMIGA
31/01/2026;COMPRA EN  ALDEA NIKK;17700.0;NO_HORMIGA
2/02/2026;COMPRA INTL  APPLE.COM BILL;3919.8;NO_HORMIGA
3/02/2026;COMPRA EN  TACO FACTO;17700.0;NO_HORMIGA
4/02/2026;COMPRA EN  DUNKIN DON;5500.0;HORMIGA
4/02/2026;COMPRA EN  BIGOS EAFI;17700.0;NO_HORMIGA
5/02/2026;COMPRA EN  HOME FOOD;17700.0;NO_HORMIGA
6/02/2026;COMPRA EN  FRISBY H30;21900.0;NO_HORMIGA
7/02/2026;COMPRA EN  UNIVERSIDA;4200.0;HORMIGA
7/02/2026;COMPRA EN  PV DOGGER;10900.0;HORMIGA
7/02/2026;COMPRA EN  BIGOS EAFI;17700.0;NO_HORMIGA
10/02/2026;COMPRA EN  UNIVERSIDA;4200.0;HORMIGA
10/02/2026;COMPRA EN  TACO FACTO;17700.0;NO_HORMIGA
12/02/2026;COMPRA EN  BIGOS EAFI;17700.0;NO_HORMIGA
13/02/2026;COMPRA EN  FRISBY H30;27900.0;NO_HORMIGA
14/02/2026;CUOTA MANEJO TARJETA DEBITO;10650.0;NO_HORMIGA
17/02/2026;COMPRA EN  BIGOS EAFI;25300.0;NO_HORMIGA
19/02/2026;COMPRA EN  FRISBY H30;22500.0;NO_HORMIGA
19/02/2026;COMPRA EN  LAS HERMOS;5600.0;HORMIGA
20/02/2026;COMPRA EN  BIGOS EAFI;17700.0;NO_HORMIGA
20/02/2026;COMPRA EN  MCDONALD S;19900.0;NO_HORMIGA
21/02/2026;COMPRA EN  BIGOS EAFI;17700.0;NO_HORMIGA
22/02/2026;TRANSFERENCIA A NEQUI;22000.0;NO_HORMIGA
24/02/2026;COMPRA EN  PRESTO OVI;43800.0;NO_HORMIGA
24/02/2026;COMPRA EN  TACO FACTO;17700.0;NO_HORMIGA
26/02/2026;COMPRA EN  FRISBY H30;27900.0;NO_HORMIGA
27/02/2026;COMPRA EN  BIGOS EAFI;17700.0;NO_HORMIGA
28/02/2026;COMPRA EN  ALDEA NIKK;17700.0;NO_HORMIGA
3/03/2026;COMPRA EN  EC EAFIT;30900.0;NO_HORMIGA
5/03/2026;COMPRA EN  TACO FACTO;17700.0;NO_HORMIGA
6/03/2026;TRANSF QR ;10000.0;NO_HORMIGA
6/03/2026;COMPRA EN  DUNKIN DON;5500.0;HORMIGA
7/03/2026;COMPRA EN  FRISBY H30;21900.0;NO_HORMIGA
9/03/2026;TRANSFERENCIA A NEQUI;28900.0;NO_HORMIGA
10/03/2026;COMPRA EN  FRISBY H30;21900.0;NO_HORMIGA
12/03/2026;COMPRA EN  BIGOS EAFI;17700.0;NO_HORMIGA
13/03/2026;COMPRA EN  UNIVERSIDA;4200.0;HORMIGA
13/03/2026;COMPRA EN  TACO FACTO;17700.0;NO_HORMIGA
14/03/2026;COMPRA EN  ALDEA NIKK;17700.0;NO_HORMIGA
14/03/2026;CUOTA MANEJO TARJETA DEBITO;10650.0;NO_HORMIGA
17/03/2026;COMPRA EN  LAS HERMOS;5100.0;HORMIGA
17/03/2026;COMPRA EN  BIGOS EAFI;17700.0;NO_HORMIGA
19/03/2026;COMPRA EN  UNIVERSIDA;4700.0;HORMIGA
19/03/2026;COMPRA EN  HOME FOOD;17700.0;NO_HORMIGA
20/03/2026;COMPRA EN  EC EAFIT;28900.0;NO_HORMIGA
21/03/2026;COMPRA EN  UNIVERSIDA;10100.0;HORMIGA
21/03/2026;COMPRA EN  FRISBY H30;17700.0;NO_HORMIGA
25/03/2026;COMPRA EN  LAS HERMOS;5500.0;HORMIGA
26/03/2026;COMPRA EN  UNIVERSIDA;3800.0;HORMIGA
26/03/2026;COMPRA EN  EC EAFIT;28900.0;NO_HORMIGA
27/03/2026;COMPRA EN  FRISBY H30;22900.0;NO_HORMIGA
28/03/2026;COMPRA EN  FRISBY H30;17700.0;NO_HORMIGA
31/03/2026;COMPRA EN  TACO FACTO;22500.0;NO_HORMIGA
1/10;PAGO QR Interactivafusion;8000.0;HORMIGA
1/10;COMPRA EN  LAS HERMOS;5100.0;HORMIGA
1/10;COMPRA EN  HOME FOOD;17700.0;NO_HORMIGA
2/10;COMPRA EN  TIENDA D1;19090.0;NO_HORMIGA
2/10;COMPRA EN  HOME FOOD;17700.0;NO_HORMIGA
2/10;Recarga de Tarjeta Civica;15000.0;NO_HORMIGA
3/10;TRANSFERENCIAS A NEQUI;12000.0;NO_HORMIGA
3/10;COMPRA EN  HYM ARKAND;900.0;HORMIGA
4/10;TRANSFERENCIAS A NEQUI;6000.0;NO_HORMIGA
4/10;TRANSFERENCIAS A NEQUI;27400.0;NO_HORMIGA
6/10;COMPRA EN  TIENDA D1;14780.0;HORMIGA
6/10;COMPRA EN  INVERSIONE;12875.0;HORMIGA
7/10;COMPRA EN  CREPES Y W;102250.0;NO_HORMIGA
7/10;COMPRA EN  TIENDA D1;5990.0;HORMIGA
9/10;COMPRA EN  INVERSIONE;15713.0;HORMIGA
10/10;TRANSFERENCIAS A NEQUI;22900.0;NO_HORMIGA
10/10;COMPRA EN  INVERSIONE;6200.0;HORMIGA
10/10;CUOTA MANEJO TRJ DEB 10 25;10650.0;NO_HORMIGA
11/10;COMPRA EN  INVERSIONE;21300.0;HORMIGA
13/10;TRANSFERENCIAS A NEQUI;40000.0;NO_HORMIGA
13/10;TRANSFERENCIAS A NEQUI;4000.0;NO_HORMIGA
14/10;TRANSFERENCIAS A NEQUI;6000.0;NO_HORMIGA
14/10;PAGO QR Interactivafu;8000.0;HORMIGA
14/10;COMPRA EN  HOME FOOD;17700.0;NO_HORMIGA
14/10;Recarga de Tarjeta Civica;20000.0;NO_HORMIGA
15/10;COMPRA EN  CHIPSTATIO;17700.0;NO_HORMIGA
16/10;TRANSFERENCIAS A NEQUI;5000.0;NO_HORMIGA
16/10;COMPRA EN  TIENDA D1;9790.0;HORMIGA
16/10;COMPRA EN  NATIVOS SA;12000.0;HORMIGA
16/10;COMPRA EN  RECANTO EA;9600.0;HORMIGA
17/10;COMPRA EN  FRISBY H30;22500.0;NO_HORMIGA
17/10;COMPRA EN  LAS HERMOS;5100.0;HORMIGA
17/10;Recarga de Tarjeta Civica;20000.0;NO_HORMIGA
19/10;TRANSFERENCIAS A NEQUI;12000.0;NO_HORMIGA
20/10;COMPRA EN  UNIVERSIDA;6700.0;HORMIGA
20/10;COMPRA EN  CHIPSTATIO;17700.0;NO_HORMIGA
20/10;COMPRA EN  FRISBY H30;22900.0;NO_HORMIGA
21/10;TRANSFERENCIA A NEQUI;50000.0;NO_HORMIGA
21/10;COMPRA EN  DELI OVIED;20000.0;NO_HORMIGA
21/10;Recarga de Tarjeta Civica;15000.0;NO_HORMIGA
25/10;COMPRA EN  INVERSIONE;13298.0;HORMIGA
26/10;TRANSFERENCIAS A NEQUI;50000.0;NO_HORMIGA
26/10;COMPRA EN  TIENDA D1;11750.0;HORMIGA
26/10;COMPRA EN  INVERSIONE;8000.0;HORMIGA
27/10;TRANSFERENCIAS A NEQUI;20000.0;NO_HORMIGA
27/10;COMPRA EN  UNIVERSIDA;9200.0;HORMIGA
27/10;COMPRA EN  RECANTO EA;8300.0;HORMIGA
27/10;COMPRA EN  BIGOS EAFI;22500.0;NO_HORMIGA
27/10;Recarga de Tarjeta Civica;15000.0;NO_HORMIGA
29/10;COMPRA EN  LAS HERMOS;7500.0;HORMIGA
29/10;COMPRA EN  FARMACIA P;12492.0;NO_HORMIGA
29/10;COMPRA EN  HOME FOOD;17700.0;NO_HORMIGA
29/10;Recarga de Tarjeta Civica;10000.0;NO_HORMIGA
30/10;PAGO QR Interactivafu;8000.0;HORMIGA
30/10;COMPRA EN  HOME FOOD;17700.0;NO_HORMIGA
31/10;TRANSFERENCIAS A NEQUI;24000.0;NO_HORMIGA
31/10;COMPRA EN  RECANTO EA;13500.0;HORMIGA
31/10;Recarga de Tarjeta Civica;5000.0;NO_HORMIGA
